,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
1981,Local comercial,Ate,0,1,0,30,1000.0,1069.0,164.0
1982,Tienda/Salón,Ate,0,1,0,44,2000.0,1373.0,473.0
1983,Local comercial,San Borja,0,0,0,35,400.0,938.0,170.0
1984,Local comercial,Chorrillos,0,3,0,241,16000.0,9384.0,
1985,Local comercial,Jesús María,0,1,0,23,1500.0,346.0,
1986,Almacén,La Punta,0,0,0,2500,19000.0,,
1987,Local comercial,Pachacámac,0,0,0,935,112200.0,23375.0,
1988,Local comercial,Ate,0,1,0,32,3000.0,575.0,195.0
1989,Local comercial,Jesús María,0,1,0,78,1500.0,620.0,320.0
1990,Local comercial,Ate,0,0,0,50,3800.0,847.0,397.0
1991,Local comercial,Lima,2,0,0,121,1200.0,,
1992,Local comercial,Pachacámac,0,0,0,30,500.0,432.0,133.0
1993,Local comercial,Lince,0,1,0,27,750.0,650.0,155.0
1994,Local comercial,Pachacámac,0,0,0,80,3000.0,3044.0,218.0
1995,Local comercial,Ate,0,1,0,27,1700.0,640.0,125.0
1996,Local comercial,Callao,0,2,0,145,9800.0,2200.0,660.0
1997,Local comercial,San Borja,0,0,0,170,8000.0,3400.0,
1998,Local comercial,Chorrillos,0,4,0,248,24000.0,9169.0,1635.0
1999,Local comercial,Puente Piedra,0,2,0,520,36379.0,12000.0,909.0
2000,Tienda/Salón,Chorrillos,0,0,0,180,6800.0,,760.0
2001,Local comercial,Comas,0,0,0,29,2100.0,1250.0,300.0
2002,Local comercial,Pachacámac,0,0,0,142,9500.0,3626.0,
2003,Tienda/Salón,Chorrillos,0,0,0,412,19000.0,160.0,3446.0
2004,Local comercial,Callao,0,0,0,27,600.0,890.0,107.0
2005,Local comercial,Jesús María,0,1,0,24,580.0,369.0,174.0
2006,Local comercial,Ate,0,2,0,72,2500.0,1365.0,
2007,Local comercial,Jesús María,0,1,0,28,1300.0,580.0,
2008,Tienda/Salón,Chorrillos,0,0,0,17,1500.0,,
2009,Local comercial,Pachacámac,0,0,0,25,500.0,350.0,80.0
2010,Local comercial,Pachacámac,0,0,0,42,1400.0,1090.0,165.0
2011,Local comercial,Ate,0,1,0,42,1700.0,1452.0,610.0
2012,Local comercial,Pachacámac,0,1,0,30,2200.0,,
2013,Local comercial,Punta Negra,0,1,0,29,1000.0,400.0,
2014,Local comercial,Ate,0,10,0,377,22500.0,8394.0,2446.0
2015,Casa comercial,Punta Negra,0,0,0,72,1500.0,,91.0
2016,Local comercial,Pachacámac,0,0,0,66,2500.0,2400.0,335.0
2017,Local comercial,Pachacámac,0,0,0,160,6000.0,4001.0,1050.0
2018,Local comercial,Pachacámac,0,0,0,26,500.0,560.0,84.0
2019,Local comercial,Ate,0,0,0,29,1000.0,1010.0,234.0
2020,Local comercial,Chorrillos,0,7,0,377,56625.0,12586.0,
2021,Local comercial,Independencia,0,0,0,30,800.0,150.0,16.0
2022,Local comercial,Ate,0,2,0,27,750.0,758.0,124.0
2023,Local comercial,Pachacámac,0,0,0,90,3000.0,1355.0,276.0
2024,Local comercial,Ate,0,4,0,180,15000.0,5600.0,
2025,Tienda/Salón,Ate,0,2,0,80,1000.0,1750.0,1900.0
2026,Local comercial,Jesús María,0,1,0,33,1300.0,346.0,
2027,Local comercial,Pachacámac,0,1,0,677,40620.0,14293.0,3216.0
2028,Local comercial,San Luis,0,1,0,36,950.0,540.0,56.0
2029,Local comercial,Puente Piedra,0,10,0,1200,90000.0,19200.0,2592.0
2030,Local comercial,Pachacámac,0,0,0,35,950.0,349.0,830.0
2031,Local comercial,Pachacámac,0,0,0,360,7800.0,3800.0,1250.0
2032,Local comercial,Pachacámac,0,0,0,254,5500.0,5417.0,
2033,Almacén,San Luis,0,0,0,2470,70000.0,,
2034,Local comercial,Lurigancho,0,1,0,30,2000.0,720.0,140.0
2035,Tienda/Salón,San Miguel,0,1,0,31,2100.0,2405.0,
2036,Local comercial,Ate,0,3,0,81,2700.0,1200.0,345.0
2037,Local comercial,La Perla,0,0,0,51,13000.0,1089.0,1048.0
2038,Local comercial,Pachacámac,0,0,0,846,22000.0,17760.0,4654.0
2039,Tienda/Salón,San Borja,0,0,0,56,3499.0,1300.0,499.0
2040,Local comercial,Pachacámac,0,0,0,423,8000.0,10163.0,2183.0
2041,Almacén,San Juan de Miraflores,0,10,0,1000,8000.0,,600.0
2042,Local comercial,Jesús María,0,1,0,22,1100.0,400.0,
2043,Local comercial,Villa El Salvador,0,4,0,180,15000.0,4730.0,995.0
2044,Tienda/Salón,Ate,0,6,0,598,20000.0,10700.0,
2045,Casa comercial,Lurigancho,0,0,0,300,17000.0,,
2046,Local comercial,Pachacámac,0,0,0,40,1200.0,700.0,90.0
2047,Tienda en Centro Comercial,San Borja,0,0,0,50,3500.0,750.0,400.0
2048,Local comercial,Villa El Salvador,0,0,0,29,1000.0,402.0,141.0
2049,Local comercial,Ate,0,1,0,27,1100.0,7322.0,112.0
2050,Local comercial,Lince,0,0,0,29,900.0,429.0,
2051,Tienda/Salón,Rímac,0,0,0,51,7900.0,,680.0
2052,Tienda/Salón,San Luis,0,0,0,337,10000.0,,2021.0
2053,Local comercial,Villa El Salvador,0,6,0,353,35306.0,9306.0,1454.0
2054,Almacén,Breña,0,5,0,600,13500.0,,720.0
2055,Local comercial,Ate,0,1,0,30,1100.0,948.0,155.0
2056,Local comercial,Chorrillos,0,2,0,56,3000.0,1500.0,
2057,Local comercial,San Borja,0,0,0,200,6800.0,400.0,5708.0
2058,Local comercial,Mi Perú,0,1,0,26,700.0,535.0,2.0
2059,Studio,Bellavista,0,0,0,110,1500.0,,50.0
2060,Local comercial,Ate,0,1,0,43,1395.0,1000.0,310.0
2061,Tienda/Salón,Ate,0,2,0,75,6000.0,1500.0,
2062,Local comercial,Callao,0,1,0,25,700.0,372.0,560.0
2063,Local comercial,Ate,0,1,0,30,1000.0,800.0,125.0
2064,Local comercial,Pachacámac,0,0,0,30,500.0,408.0,69.0
2065,Local comercial,Ate,0,3,0,117,8775.0,2049.0,625.0
2066,Tienda en Centro Comercial,Ate,0,5,0,180,7000.0,7000.0,6500.0
2067,Tienda/Salón,Pachacámac,0,0,0,135,5000.0,150.0,
2068,Local comercial,Pachacámac,0,0,0,379,15160.0,5614.0,1843.0
2069,Tienda/Salón,Comas,0,0,0,129,2800.0,,
2070,Local comercial,Ate,0,1,0,44,1500.0,849.0,
2071,Local comercial,Ate,0,1,0,130,4500.0,1750.0,598.0
2072,Local comercial,Pachacámac,4,0,0,200,5000.0,1779.0,679.0
2073,Local comercial,Jesús María,0,1,0,45,1300.0,346.0,
2074,Local comercial,Pachacámac,0,0,0,30,500.0,780.0,129.0
2075,Local comercial,Callao,0,0,0,36,800.0,650.0,60.0
2076,Local comercial,Pachacámac,0,3,0,115,8025.0,2582.0,
2077,Tienda/Salón,Ate,0,1,0,90,4500.0,1563.0,5070.0
2078,Tienda/Salón,Jesús María,0,1,0,46,1150.0,532.0,105.0
2079,Local comercial,Pachacámac,0,0,0,218,14000.0,6780.0,7494.0
2080,Local comercial,Jesús María,0,1,0,26,800.0,350.0,1.0
2081,Local comercial,Pachacámac,0,0,0,600,20000.0,5423.0,2900.0
2082,Local comercial,La Punta,0,1,0,21,100.0,409.0,
2083,Local comercial,Pachacámac,0,0,0,192,6500.0,4485.0,
2084,Tienda en Centro Comercial,La Perla,0,1,0,82,5000.0,1100.0,8736.0
2085,Local comercial,Chorrillos,0,1,0,110,11000.0,2800.0,572.0
2086,Local comercial,Santiago de Surco,0,5,0,1080,64800.0,31050.0,
2087,Local comercial,Rímac,0,1,0,33,4500.0,820.0,232.0
2088,Tienda/Salón,Pachacámac,0,3,0,577,30000.0,7400.0,1123.0
2089,Tienda/Salón,San Borja,0,0,0,220,12000.0,3700.0,
2090,Local comercial,Ate,0,38,0,1300,80000.0,31000.0,6000.0
2091,Almacén,Chaclacayo,0,0,0,600,8000.0,,
2092,Local comercial,Jesús María,0,0,0,210,12000.0,,
2093,Local comercial,Pachacámac,0,0,0,112,1600.0,600.0,254.0
2094,Local comercial,Ate,0,2,0,66,4800.0,1155.0,
2095,Local comercial,Lince,0,0,0,25,2000.0,405.0,
2096,Local comercial,Ate,0,7,0,300,18000.0,9000.0,
2097,Local comercial,San Martín de Porres,0,1,0,29,800.0,779.0,
2098,Local comercial,Pachacámac,0,0,0,160,11000.0,5887.0,700.0
2099,Local comercial,San Borja,0,0,0,198,5000.0,1780.0,1143.0
2100,Local comercial,Magdalena del Mar,0,0,0,35,400.0,400.0,60.0
2101,Local comercial,Rímac,0,1,0,26,3500.0,982.0,1030.0
2102,Local comercial,Pachacámac,0,0,0,347,12000.0,4515.0,1222.0
2103,Local comercial,Lince,2,0,0,65,2000.0,250.0,
2104,Local comercial,Pachacámac,0,1,0,27,1300.0,1483.0,143.0
2105,Local comercial,Ate,0,1,0,31,800.0,686.0,112.0
2106,Tienda/Salón,Ate,0,1,0,116,3000.0,1832.0,1291.0
2107,Local comercial,Pachacámac,0,0,0,423,8900.0,11500.0,1200.0
2108,Local comercial,Callao,0,1,0,30,800.0,387.0,
2109,Local comercial,Callao,0,1,0,26,800.0,345.0,
2110,Local comercial,Comas,0,0,0,40,2500.0,933.0,1284.0
2111,Local comercial,Lince,0,1,0,24,750.0,357.0,150.0
2112,Local comercial,Pachacámac,0,0,0,29,760.0,615.0,210.0
2113,Local comercial,Pachacámac,0,0,0,227,4000.0,3570.0,1300.0
2114,Tienda en Centro Comercial,Jesús María,0,1,0,60,1200.0,1050.0,330.0
2115,Local comercial,Pachacámac,0,0,0,588,29431.0,10595.0,
2116,Local comercial,Jesús María,0,0,0,46,1600.0,1000.0,300.0
2117,Local comercial,Puente Piedra,0,5,0,550,38500.0,8800.0,1189.0
2118,Local comercial,Ate,0,0,0,58,1300.0,1509.0,
2119,Local comercial,Ate,0,1,0,43,370000.0,700.0,130.0
2120,Local comercial,Ate,0,1,0,36,950.0,1200.0,114.0
2121,Local comercial,Ate,1,0,0,60,2500.0,1260.0,370.0
2122,Local comercial,Ate,0,2,0,81,2800.0,2200.0,
2123,Local comercial,Pachacámac,0,0,0,364,7500.0,4470.0,1968.0
2124,Casa comercial,Lince,2,0,1,50,25000.0,,
2125,Almacén,San Isidro,0,5,0,4000,42000.0,,478.0
2126,Local comercial,Callao,0,1,0,21,1000.0,340.0,90.0
2127,Tienda/Salón,Pachacámac,0,0,0,2500,35000.0,,2927.0
2128,Local comercial,San Borja,0,1,0,35,1650.0,711.0,177.0
2129,Local comercial,Pachacámac,0,0,0,70,1900.0,2100.0,250.0
2130,Local comercial,Pachacámac,0,0,0,32,450.0,566.0,122.0
2131,Local comercial,Jesús María,0,1,0,74,2500.0,300.0,170.0
2132,Casa comercial,Pachacámac,0,0,0,42,900.0,1140.0,175.0
2133,Local comercial,Pachacámac,0,0,0,5,299.0,,
2134,Local comercial,Ate,0,1,0,44,2000.0,1200.0,190.0
2135,Local comercial,Ate,0,1,0,72,2200.0,840.0,595.0
2136,Local comercial,Punta Negra,0,0,0,23,800.0,620.0,104.0
2137,Local comercial,Jesús María,0,1,0,46,2200.0,662.0,264.0
2138,Local comercial,Puente Piedra,0,5,0,1797,35943.0,,
2139,Local comercial,Ate,0,12,0,370,16500.0,13995.0,1605.0
2140,Local comercial,Ate,0,1,0,50,1200.0,1000.0,112.0
2141,Tienda/Salón,Jesús María,0,1,0,150,5000.0,441.0,1500.0
2142,Tienda/Salón,San Borja,0,0,0,22,3000.0,281.0,18.0
2143,Local comercial,Rímac,0,0,0,300,60000.0,3000.0,196070.0
2144,Local comercial,Pachacámac,0,0,0,30,600.0,340.0,82.0
2145,Local comercial,Comas,0,0,0,25,1600.0,880.0,143.0
2146,Almacén,San Borja,0,0,0,250,3500.0,1663.0,1341.0
2147,Local comercial,Pachacámac,0,0,0,21,650.0,347.0,
2148,Tienda/Salón,San Borja,0,0,0,30,3000.0,680.0,328.0
2149,Local comercial,Jesús María,0,1,0,26,1300.0,250.0,
2150,Tienda/Salón,Pachacámac,0,10,0,860,9800.0,,86.0
2151,Local comercial,Pachacámac,0,0,0,2308,115400.0,35800.0,
2152,Local comercial,Mi Perú,0,1,0,23,700.0,523.0,
2153,Local comercial,Chorrillos,0,0,0,15,680.0,,
2154,Local comercial,Pachacámac,0,0,0,150,3500.0,1725.0,667.0
2155,Local comercial,Ate,0,1,0,28,700.0,627.0,
2156,Tienda/Salón,Ancón,0,4,0,2400,160000.0,14884.0,3600.0
2157,Local comercial,Santa Anita,0,0,0,30,800.0,668.0,
2158,Local comercial,San Luis,0,0,0,40,1000.0,,155.0
2159,Local comercial,Comas,0,0,0,26,4500.0,2502.0,365.0
2160,Tienda en Centro Comercial,Ate,0,1,0,76,5500.0,1204.0,1240.0
2161,Casa comercial,Chorrillos,0,3,0,433,17000.0,,28419.0
2162,Almacén,Pachacámac,0,0,0,500,7500.0,,
2163,Almacén,Ate,0,4,0,500,11000.0,,1000.0
2164,Local comercial,Ate,0,32,0,880,60000.0,25000.0,3960.0
2165,Local comercial,Santa Anita,0,0,0,30,600.0,580.0,
2166,Local comercial,Pachacámac,0,0,0,130,6000.0,2000.0,
2167,Tienda en Centro Comercial,Comas,0,1,0,32,2500.0,2243.0,458.0
2168,Tienda/Salón,Mi Perú,0,0,0,85,6500.0,,398.0
2169,Local comercial,Lince,0,0,0,25,500.0,366.0,
2170,Tienda/Salón,Ate,0,5,0,180,5000.0,6743.0,407.0
2171,Local comercial,Pachacámac,0,0,0,3759,225540.0,84578.0,
2172,Local comercial,Pachacámac,0,0,0,245,25000.0,8571.0,1598.0
2173,Tienda/Salón,San Borja,0,0,0,220,12000.0,4100.0,3424.0
2174,Local comercial,Lince,0,0,0,35,1500.0,500.0,
2175,Local comercial,Pachacámac,0,0,0,333,10000.0,9000.0,11359.0
2176,Local comercial,Pachacámac,0,0,0,34,500.0,1030.0,105.0
2177,Local comercial,Villa El Salvador,0,6,0,353,35306.0,9306.0,1454.0
2178,Tienda en Centro Comercial,Callao,0,1,0,50,2500.0,999.0,182.0
2179,Tienda/Salón,Chorrillos,0,0,0,300,16000.0,1900.0,
2180,Local comercial,Pachacámac,0,0,0,240,5000.0,7400.0,1302.0
2181,Local comercial,Ate,0,1,0,27,2000.0,750.0,1612.0
2182,Tienda/Salón,Lince,0,0,0,300,7000.0,,
2183,Local comercial,Chorrillos,0,1,0,100,11000.0,2800.0,800.0
2184,Tienda/Salón,El Agustino,0,0,0,12,750.0,200.0,33.0
2185,Local comercial,Callao,0,1,0,25,800.0,350.0,
2186,Local comercial,Pachacámac,0,0,0,140,5500.0,1450.0,495.0
2187,Tienda/Salón,Breña,0,0,0,52,5000.0,330.0,484.0
2188,Local comercial,Pachacámac,0,0,0,379,15160.0,5613.0,1843.0
2189,Local comercial,Ate,0,18,0,1600,160000.0,24000.0,
2190,Local comercial,Pachacámac,0,0,0,47,1600.0,700.0,90.0
2191,Local comercial,Ate,0,1,0,30,1000.0,979.0,180.0
2192,Almacén,Santa Rosa,0,0,0,2200,35000.0,,
2193,Local comercial,Ate,0,1,0,70,2000.0,1981.0,381.0
2194,Local comercial,Pachacámac,0,3,0,579,46335.0,8687.0,1737.0
2195,Local comercial,Ate,0,0,0,10,3711.0,,
2196,Local comercial,Pachacámac,0,0,0,320,8200.0,3000.0,1032.0
2197,Tienda/Salón,Ate,0,10,0,693,55440.0,10395.0,
2198,Local comercial,San Luis,0,1,0,18,360.0,700.0,55.0
2199,Casa comercial,Villa El Salvador,8,8,2,1000,28000.0,,300.0
2200,Tienda en Centro Comercial,Ate,0,1,0,85,5000.0,1800.0,600.0
2201,Local comercial,Callao,0,1,0,28,800.0,731.0,
2202,Local comercial,Jesús María,0,0,0,70,2499.0,,196.0
2203,Local comercial,Pachacámac,0,0,0,140,5000.0,4393.0,730.0
2204,Local comercial,Villa El Salvador,0,3,0,173,17391.0,4584.0,716.0
2205,Tienda/Salón,Santa Anita,0,0,0,200,6000.0,,
2206,Local comercial,Ate,0,0,0,200,10000.0,6988.0,880.0
2207,Local comercial,Pachacámac,0,0,0,29,700.0,308.0,
2208,Local comercial,Lince,0,0,0,29,900.0,420.0,125.0
2209,Local comercial,Chorrillos,0,20,0,716,53700.0,21974.0,3300.0
2210,Local comercial,Ate,0,4,0,128,13000.0,1093.0,
2211,Local comercial,Chorrillos,0,0,0,143,7500.0,1424.0,219.0
2212,Casa comercial,Ventanilla,0,3,0,80,2500.0,,290.0
2213,Tienda/Salón,San Borja,0,0,0,103,1550.0,1625.0,
2214,Local comercial,Ate,0,0,0,30,1200.0,525.0,
2215,Local comercial,Jesús María,0,1,0,28,900.0,383.0,105.0
2216,Local comercial,Mi Perú,0,1,0,26,800.0,480.0,33.0
2217,Tienda/Salón,Lince,0,0,0,70,2500.0,,115.0
2218,Tienda/Salón,Comas,0,0,0,210,28000.0,,2600.0
2219,Casa comercial,Chorrillos,0,0,0,280,16000.0,,1166.0
2220,Almacén,La Punta,0,0,0,750,10900.0,,1100.0
2221,Local comercial,Jesús María,0,1,0,30,1500.0,250.0,
2222,Local comercial,Ate,0,1,0,100,4000.0,1613.0,217.0
2223,Local comercial,Pachacámac,0,0,0,405,16000.0,4742.0,1382.0
2224,Local comercial,Puente Piedra,0,5,0,1435,35888.0,,
2225,Local comercial,Pachacámac,0,0,0,484,10000.0,7071.0,1745.0
2226,Local comercial,Chorrillos,0,1,0,235,11750.0,11000.0,3080.0
2227,Local comercial,Pachacámac,0,2,0,56,2400.0,1500.0,
2228,Tienda en Centro Comercial,Ate,0,1,0,30,1000.0,2500.0,619.0
2229,Local comercial,Jesús María,0,11,0,500,22000.0,5500.0,1500.0
2230,Local comercial,Ate,0,1,0,28,500.0,540.0,
2231,Local comercial,Ate,0,1,0,27,1000.0,843.0,47.0
2232,Local comercial,Pachacámac,0,0,0,47,1300.0,1006.0,203.0
2233,Local comercial,Comas,0,1,0,30,1399.0,744.0,112.0
2234,Tienda/Salón,Lince,0,14,0,349,20000.0,230.0,1148.0
2235,Local comercial,Ate,0,1,0,36,2600.0,700.0,
2236,Local comercial,Ate,0,1,0,22,600.0,412.0,112.0
2237,Local comercial,Chorrillos,0,0,0,501,69600.0,15710.0,3100.0
2238,Local comercial,Lince,0,1,0,21,600.0,350.0,
2239,Local comercial,San Miguel,0,0,0,29,800.0,480.0,142.0
2240,Local comercial,Pachacámac,0,1,0,30,900.0,909.0,75.0
2241,Local comercial,Pachacámac,0,0,0,377,6000.0,,
2242,Local comercial,Pachacámac,0,1,0,360,7000.0,5700.0,1250.0
2243,Tienda/Salón,Ate,0,3,0,207,11395.0,5589.0,2938.0
2244,Local comercial,Comas,0,4,0,323,29000.0,7700.0,2000.0
2245,Local comercial,Ate,0,1,0,150,5900.0,650.0,
2246,Almacén,San Luis,0,15,0,1200,27000.0,,1400.0
2247,Local comercial,Ate,0,4,0,1202,90150.0,33055.0,4207.0
2248,Tienda/Salón,Pachacámac,0,0,0,130,3500.0,133.0,675.0
2249,Local comercial,Ate,0,0,0,51,1700.0,953.0,
2250,Local comercial,Callao,0,0,0,22,750.0,378.0,85.0
2251,Tienda/Salón,Chorrillos,0,0,0,463,33379.0,4687.0,
2252,Local comercial,Ate,0,1,0,40,850.0,1185.0,136.0
2253,Local comercial,Lurigancho,0,1,0,35,2300.0,1075.0,259.0
2254,Local comercial,Ate,0,1,0,54,3500.0,850.0,500.0
2255,Local comercial,Villa El Salvador,0,0,0,220,7500.0,2500.0,1160.0
2256,Almacén,Barranco,0,0,0,220,2000.0,,180.0
2257,Local comercial,Pachacámac,0,2,0,300,20000.0,6500.0,1230.0
2258,Local comercial,Ate,0,6,0,245,20000.0,6495.0,1453.0
2259,Local comercial,Pachacámac,0,12,0,2190,153318.0,,
2260,Casa comercial,Chorrillos,0,1,0,118,10000.0,,627.0
2261,Local comercial,Pachacámac,0,0,0,77,2850.0,1459.0,
2262,Local comercial,Villa El Salvador,0,0,0,34,1200.0,948.0,171.0
2263,Local comercial,Pachacámac,0,1,0,392,25468.0,12147.0,1324.0
2264,Tienda/Salón,Ate,0,16,0,1200,96000.0,12900.0,17500.0
2265,Local comercial,San Borja,0,0,0,25,1200.0,480.0,140.0
2266,Local comercial,Pachacámac,0,0,0,195,5500.0,1800.0,675.0
2267,Local comercial,Chorrillos,0,17,0,757,102217.0,28394.0,
2268,Almacén,Lima,0,0,0,5000,15000.0,,
2269,Casa comercial,Lince,0,0,0,100,13000.0,,
2270,Local comercial,Pachacámac,1,0,0,25,700.0,321.0,107.0
2271,Local comercial,Pachacámac,0,1,0,585,52650.0,14625.0,2925.0
2272,Local comercial,Pachacámac,0,0,0,50,1500.0,361.0,84.0
2273,Local comercial,Ate,0,6,0,179,9900.0,3468.0,1390.0
2274,Local comercial,Pachacámac,0,0,0,38,600.0,554.0,79.0
2275,Almacén,Santa Rosa,0,0,0,1676,15000.0,,2774.0
2276,Local comercial,San Borja,0,0,0,68,2000.0,1347.0,2701.0
2277,Almacén,La Perla,0,20,0,7933,142799.0,49468.0,9609.0
2278,Local comercial,Pachacámac,0,18,0,2964,359632.0,77065.0,
2279,Local comercial,Ate,0,3,0,135,10000.0,4895.0,1500.0
2280,Local comercial,Ate,0,1,0,30,1350.0,900.0,150.0
2281,Local comercial,Pachacámac,0,0,0,90,4000.0,2170.0,583.0
2282,Tienda en Centro Comercial,Callao,0,1,0,70,3000.0,1464.0,312.0
2283,Local comercial,Comas,0,0,0,25,2200.0,460.0,27.0
2284,Local comercial,Ate,0,12,0,427,13000.0,14027.0,
2285,Local comercial,San Miguel,0,1,0,34,800.0,691.0,83.0
2286,Tienda/Salón,Chorrillos,0,0,0,585,60000.0,90.0,450.0
2287,Tienda/Salón,Ate,0,10,0,1878,129600.0,22150.0,
2288,Tienda en Centro Comercial,Ate,0,1,0,29,2000.0,1044.0,371.0
2289,Local comercial,Pachacámac,0,0,0,219,12000.0,3229.0,
2290,Local comercial,Ate,0,22,0,800,45000.0,29000.0,
2291,Local comercial,San Borja,0,0,0,25,1200.0,523.0,168.0
2292,Local comercial,Ate,0,5,0,180,12000.0,3600.0,1066.0
2293,Tienda/Salón,Cieneguilla,0,0,0,117,2350.0,,1421.0
2294,Tienda/Salón,Ventanilla,0,0,0,85,6500.0,,398.0
2295,Tienda/Salón,Chorrillos,0,0,0,20,500.0,575.0,
2296,Tienda en Centro Comercial,Rímac,0,0,0,20,1900.0,450.0,127.0
2297,Local comercial,Pachacámac,0,0,0,219,23000.0,5938.0,1303.0
2298,Casa comercial,Santiago de Surco,0,0,0,272,7000.0,,2225.0
2299,Local comercial,La Punta,0,1,0,30,600.0,450.0,
2300,Local comercial,Ate,0,6,0,165,6000.0,3000.0,900.0
2301,Local comercial,Callao,0,1,0,42,1200.0,450.0,120.0
2302,Local comercial,Pachacámac,0,0,0,54,1240.0,580.0,132.0
2303,Local comercial,Pachacámac,0,0,0,40,900.0,432.0,
2304,Local comercial,Pachacámac,0,0,0,40,1200.0,620.0,211.0
2305,Local comercial,Puente Piedra,0,10,0,1080,64800.0,30240.0,
2306,Local comercial,Ate,0,0,0,16,7724.0,,
2307,Local comercial,Lince,0,0,0,50,2300.0,400.0,
2308,Tienda/Salón,Comas,0,0,0,200,30000.0,,1900.0
2309,Local comercial,San Bartolo,0,0,0,30,350.0,610.0,50.0
2310,Local comercial,Comas,0,0,0,70,7500.0,2000.0,790.0
2311,Local comercial,Pachacámac,0,0,0,35,450.0,360.0,
2312,Almacén,Lima,0,0,0,9220,73000.0,,8349.0
2313,Tienda/Salón,Rímac,0,3,0,300,40000.0,4584.0,
2314,Almacén,San Juan de Miraflores,0,2,0,250,4000.0,,
2315,Local comercial,Pachacámac,0,0,0,100,1600.0,1979.0,335.0
2316,Local comercial,Pachacámac,0,18,0,944,127440.0,31500.0,
2317,Almacén,Independencia,0,0,0,900,13000.0,,1050.0
2318,Tienda/Salón,Ate,0,0,0,162,14231.0,2800.0,1305.0
2319,Tienda/Salón,Ate,0,1,0,100,4500.0,1490.0,2021.0
2320,Local comercial,Pachacámac,0,0,0,698,41903.0,14743.0,3317.0
2321,Local comercial,Ate,0,2,0,78,2980.0,1944.0,78820.0
2322,Tienda/Salón,Callao,0,0,0,144,4800.0,,460.0
2323,Tienda/Salón,Pachacámac,0,0,0,208,5000.0,2670.0,530.0
2324,Local comercial,Chorrillos,0,0,0,6,3276.0,,
2325,Almacén,La Perla,0,17,0,2040,44880.0,12751.0,710.0
2326,Local comercial,Jesús María,0,1,0,32,1200.0,440.0,125.0
2327,Almacén,Chaclacayo,0,0,0,400,4500.0,,222.0
2328,Local comercial,San Luis,0,1,0,17,950.0,290.0,
2329,Local comercial,Pachacámac,0,0,0,21,600.0,305.0,101.0
2330,Local comercial,Ate,0,1,0,31,1500.0,1094.0,507.0
2331,Local comercial,Pachacámac,0,1,0,30,800.0,900.0,1477.0
2332,Local comercial,Pachacámac,0,0,0,97,1500.0,2514.0,266.0
2333,Tienda/Salón,San Bartolo,0,0,0,320,20000.0,,
2334,Local comercial,Ate,0,1,0,22,750.0,800.0,110.0
2335,Local comercial,Ate,0,0,0,25,1800.0,700.0,
2336,Local comercial,Pachacámac,0,0,0,301,10000.0,3442.0,927.0
2337,Local comercial,Pachacámac,0,0,0,5,299.0,,
2338,Local comercial,La Punta,0,1,0,28,900.0,269.0,489.0
2339,Local comercial,Ate,0,1,0,60,1600.0,1200.0,424.0
2340,Tienda/Salón,Jesús María,0,0,0,70,6000.0,864.0,117.0
2341,Tienda/Salón,Punta Hermosa,0,0,0,95,1500.0,1250.0,354.0
2342,Local comercial,Ate,0,23,0,937,84339.0,9839.0,4216.0
2343,Local comercial,Ate,0,1,0,22,600.0,600.0,100.0
2344,Local comercial,San Borja,0,0,0,36,1500.0,570.0,100.0
2345,Local comercial,Pachacámac,0,0,0,414,17300.0,7534.0,1300.0
2346,Local comercial,Ate,0,1,0,41,1000.0,1259.0,267.0
2347,Local comercial,Pachacámac,0,0,0,32,490.0,850.0,146.0
2348,Local comercial,Ate,0,1,0,35,1300.0,1005.0,320.0
2349,Local comercial,Chorrillos,0,3,0,126,11000.0,4834.0,
2350,Local comercial,Ate,0,1,0,27,1600.0,773.0,
2351,Local comercial,Pachacámac,0,0,0,190,12600.0,4712.0,1044.0
2352,Local comercial,San Luis,0,1,0,17,950.0,290.0,
2353,Local comercial,Pachacámac,0,0,0,38,1000.0,348.0,25.0
2354,Local comercial,Comas,0,1,0,27,1100.0,,
2355,Local comercial,San Miguel,0,2,0,50,2500.0,999.0,
2356,Local comercial,Pachacámac,0,0,0,100,3000.0,3700.0,435.0
2357,Local comercial,Chorrillos,0,2,0,543,45000.0,17000.0,
2358,Local comercial,Chorrillos,0,1,0,30,2500.0,561.0,110.0
2359,Local comercial,Pachacámac,0,0,0,36,500.0,1100.0,112.0
2360,Local comercial,Pachacámac,0,0,0,1320,125362.0,31670.0,5146.0
2361,Local comercial,Pachacámac,0,0,0,110,2800.0,1000.0,140.0
2362,Local comercial,Jesús María,0,1,0,25,500.0,575.0,1120.0
2363,Almacén,Pachacámac,0,0,0,2650,159000.0,,800.0
2364,Tienda/Salón,Ancón,0,0,0,24,1800.0,,
2365,Local comercial,Ate,0,1,0,26,600.0,600.0,88.0
2366,Local comercial,Pachacámac,0,0,0,90,6000.0,2181.0,349.0
2367,Local comercial,Pachacámac,0,0,0,36,500.0,860.0,
2368,Tienda/Salón,Lince,0,0,0,200,5000.0,,222.0
2369,Local comercial,Ate,0,1,0,28,1500.0,923.0,223.0
2370,Local comercial,Pachacámac,0,1,0,300,9900.0,3339.0,1430.0
2371,Local comercial,Lince,0,0,0,15,800.0,200.0,
2372,Tienda/Salón,San Luis,0,1,0,107,6000.0,293.0,1746.0
